"cocktail_no","generation","solution_component_no","concentration","units","name","ph"
"C0076",8,1,2.48,"M","Magnesium chloride hexahydrate",7.5
"C0076",8,2,0.1,"M","HEPES",7.5
"C0077",8,1,2.48,"M","Magnesium chloride hexahydrate",8
"C0077",8,2,0.1,"M","Tris",8
"C0078",8,1,1.24,"M","Magnesium chloride hexahydrate",4.2
"C0078",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0079",8,1,1.24,"M","Magnesium chloride hexahydrate",6
"C0079",8,2,0.1,"M","MES monohydrate",6
"C0080",8,1,1.24,"M","Magnesium chloride hexahydrate",7
"C0080",8,2,0.1,"M","Bis-Tris Propane",7
"C0081",8,1,1.59,"M","Magnesium sulfate heptahydrate",9
"C0081",8,2,0.1,"M","TAPS",9
"C0082",8,1,1.59,"M","Magnesium sulfate heptahydrate",8
"C0082",8,2,0.1,"M","Tris",8
"C0083",8,1,1.06,"M","Magnesium sulfate heptahydrate",7
"C0083",8,2,0.1,"M","Bis-Tris Propane",7
"C0084",8,1,0.53,"M","Magnesium sulfate heptahydrate",5
"C0084",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0085",8,1,0.53,"M","Magnesium sulfate heptahydrate",7.5
"C0085",8,2,0.1,"M","HEPES",7.5
"C0086",8,1,0.53,"M","Magnesium sulfate heptahydrate",8
"C0086",8,2,0.1,"M","Tris",8
"C0087",8,1,3.82,"M","Manganese chloride tetrahydrate",4.2
"C0087",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0088",8,1,3.82,"M","Manganese chloride tetrahydrate",8
"C0088",8,2,0.1,"M","Tris",8
"C0089",8,1,3.82,"M","Manganese chloride tetrahydrate",5
"C0089",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0090",8,1,2.54,"M","Manganese chloride tetrahydrate",5
"C0090",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0091",8,1,2.54,"M","Manganese chloride tetrahydrate",4.2
"C0091",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0092",8,1,1.27,"M","Manganese chloride tetrahydrate",4.2
"C0092",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0093",8,1,1.27,"M","Manganese chloride tetrahydrate",5
"C0093",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0094",8,1,8.64,"M","Potassium acetate",8
"C0094",8,2,0.1,"M","Tris",8
"C0095",8,1,8.64,"M","Potassium acetate",9
"C0095",8,2,0.1,"M","TAPS",9
"C0096",8,1,5.76,"M","Potassium acetate",4.2
"C0096",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0097",8,1,5.76,"M","Potassium acetate",5
"C0097",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0098",8,1,5.76,"M","Potassium acetate",7.5
"C0098",8,2,0.1,"M","HEPES",7.5
"C0099",8,1,2.88,"M","Potassium acetate",6
"C0099",8,2,0.1,"M","MES monohydrate",6
"C0100",8,1,2.88,"M","Potassium acetate",7
"C0100",8,2,0.1,"M","Bis-Tris Propane",7
"C0101",8,1,2.88,"M","Potassium acetate",10
"C0101",8,2,0.1,"M","CAPS",10
"C0102",8,1,4,"M","Potassium bromide",5
"C0102",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0103",8,1,4,"M","Potassium bromide",8
"C0103",8,2,0.1,"M","Tris",8
"C0104",8,1,2.66,"M","Potassium bromide",6
"C0104",8,2,0.1,"M","MES monohydrate",6
"C0105",8,1,2.66,"M","Potassium bromide",7
"C0105",8,2,0.1,"M","Bis-Tris Propane",7
"C0106",8,1,2.66,"M","Potassium bromide",10
"C0106",8,2,0.1,"M","CAPS",10
"C0107",8,1,1.33,"M","Potassium bromide",4.2
"C0107",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0108",8,1,1.33,"M","Potassium bromide",7.5
"C0108",8,2,0.1,"M","HEPES",7.5
"C0109",8,1,1.33,"M","Potassium bromide",9
"C0109",8,2,0.1,"M","TAPS",9
"C0110",8,1,2.54,"M","Potassium carbonate",4.2
"C0110",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0111",8,1,2.54,"M","Potassium carbonate",7
"C0111",8,2,0.1,"M","Bis-Tris Propane",7
"C0112",8,1,2.54,"M","Potassium carbonate",8
"C0112",8,2,0.1,"M","Tris",8
"C0113",8,1,1.69,"M","Potassium carbonate",5
"C0113",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0114",8,1,1.69,"M","Potassium carbonate",7.5
"C0114",8,2,0.1,"M","HEPES",7.5
"C0115",8,1,1.69,"M","Potassium carbonate",9
"C0115",8,2,0.1,"M","TAPS",9
"C0116",8,1,0.85,"M","Potassium carbonate",6
"C0116",8,2,0.1,"M","MES monohydrate",6
"C0117",8,1,0.85,"M","Potassium carbonate",10
"C0117",8,2,0.1,"M","CAPS",10
"C0118",8,1,2.32,"M","Potassium chloride",4.2
"C0118",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0119",8,1,2.32,"M","Potassium chloride",7
"C0119",8,2,0.1,"M","Bis-Tris Propane",7
"C0120",8,1,2.32,"M","Potassium chloride",7.5
"C0120",8,2,0.1,"M","HEPES",7.5
"C0121",8,1,1.55,"M","Potassium chloride",6
"C0121",8,2,0.1,"M","MES monohydrate",6
"C0122",8,1,1.55,"M","Potassium chloride",8
"C0122",8,2,0.1,"M","Tris",8
"C0123",8,1,1.55,"M","Potassium chloride",9
"C0123",8,2,0.1,"M","TAPS",9
"C0124",8,1,0.77,"M","Potassium chloride",5
"C0124",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0125",8,1,0.77,"M","Potassium chloride",10
"C0125",8,2,0.1,"M","CAPS",10
"C0126",8,1,0.89,"M","Potassium nitrate",5
"C0126",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0127",8,1,0.89,"M","Potassium nitrate",9
"C0127",8,2,0.1,"M","TAPS",9
"C0128",8,1,0.89,"M","Potassium nitrate",8
"C0128",8,2,0.1,"M","Tris",8
"C0129",8,1,1.78,"M","Potassium nitrate",5
"C0129",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0130",8,1,0.89,"M","Potassium nitrate",4.2
"C0130",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0131",8,1,0.89,"M","Potassium nitrate",7.5
"C0131",8,2,0.1,"M","HEPES",7.5
"C0132",8,1,0.89,"M","Potassium nitrate",10
"C0132",8,2,0.1,"M","CAPS",10
"C0133",8,1,1.28,"M","Potassium phosphate monobasic",8
"C0133",8,2,0.1,"M","Tris",8
"C0134",8,1,0.85,"M","Potassium phosphate monobasic",7
"C0134",8,2,0.1,"M","Bis-Tris Propane",7
"C0135",8,1,0.85,"M","Potassium phosphate monobasic",7.5
"C0135",8,2,0.1,"M","HEPES",7.5
"C0136",8,1,0.85,"M","Potassium phosphate monobasic",10
"C0136",8,2,0.1,"M","CAPS",10
"C0137",8,1,0.43,"M","Potassium phosphate monobasic",4.2
"C0137",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0138",8,1,0.43,"M","Potassium phosphate monobasic",6
"C0138",8,2,0.1,"M","MES monohydrate",6
"C0139",8,1,0.43,"M","Potassium phosphate monobasic",9
"C0139",8,2,0.1,"M","TAPS",9
"C0140",8,1,9.5,"M","Potassium thiocyanate",4.2
"C0140",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0141",8,1,9.5,"M","Potassium thiocyanate",6
"C0141",8,2,0.1,"M","MES monohydrate",6
"C0142",8,1,6.34,"M","Potassium thiocyanate",5
"C0142",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0143",8,1,6.34,"M","Potassium thiocyanate",8
"C0143",8,2,0.1,"M","Tris",8
"C0144",8,1,6.34,"M","Potassium thiocyanate",10
"C0144",8,2,0.1,"M","CAPS",10
"C0145",8,1,3.17,"M","Potassium thiocyanate",7
"C0145",8,2,0.1,"M","Bis-Tris Propane",7
"C0146",8,1,3.17,"M","Potassium thiocyanate",7.5
"C0146",8,2,0.1,"M","HEPES",7.5
"C0147",8,1,3.17,"M","Potassium thiocyanate",9
"C0147",8,2,0.1,"M","TAPS",9
"C0148",8,1,2.85,"M","Rubidium chloride",5
"C0148",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0149",8,1,1.9,"M","Rubidium chloride",4.2
"C0149",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0150",8,1,1.9,"M","Rubidium chloride",6
"C0150",8,2,0.1,"M","MES monohydrate",6
"C0151",8,1,5.14,"M","Sodium bromide",4.2
"C0151",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0152",8,1,5.14,"M","Sodium bromide",5
"C0152",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0153",8,1,5.14,"M","Sodium bromide",6
"C0153",8,2,0.1,"M","MES monohydrate",6
"C0154",8,1,3.43,"M","Sodium bromide",7
"C0154",8,2,0.1,"M","Bis-Tris Propane",7
"C0155",8,1,3.43,"M","Sodium bromide",7.5
"C0155",8,2,0.1,"M","HEPES",7.5
"C0156",8,1,3.43,"M","Sodium bromide",8
"C0156",8,2,0.1,"M","Tris",8
"C0157",8,1,1.71,"M","Sodium bromide",9
"C0157",8,2,0.1,"M","TAPS",9
"C0158",8,1,1.71,"M","Sodium bromide",10
"C0158",8,2,0.1,"M","CAPS",10
"C0159",8,1,4.48,"M","Sodium chloride",6
"C0159",8,2,0.1,"M","MES monohydrate",6
"C0160",8,1,4.48,"M","Sodium chloride",7.5
"C0160",8,2,0.1,"M","HEPES",7.5
"C0161",8,1,0.7,"M","Sodium acetate trihydrate",6.5
"C0161",8,2,30,"% (v/v)","Glycerol anhydrous",6.5
"C0161",8,3,0.07,"M","Imidazole",6.5
"C0162",8,1,2.99,"M","Sodium chloride",4.2
"C0162",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0163",8,1,2.99,"M","Sodium chloride",5
"C0163",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0164",8,1,1.49,"M","Sodium chloride",7
"C0164",8,2,0.1,"M","Bis-Tris Propane",7
"C0165",8,1,1.49,"M","Sodium chloride",8
"C0165",8,2,0.1,"M","Tris",8
"C0166",8,1,1.49,"M","Sodium chloride",9
"C0166",8,2,0.1,"M","TAPS",9
"C0167",8,1,2.03,"M","Sodium molybdate dihydrate",6
"C0167",8,2,0.1,"M","MES monohydrate",6
"C0168",8,1,2.03,"M","Sodium molybdate dihydrate",7.5
"C0168",8,2,0.1,"M","HEPES",7.5
"C0169",8,1,1.35,"M","Sodium molybdate dihydrate",7
"C0169",8,2,0.1,"M","Bis-Tris Propane",7
"C0170",8,1,1.35,"M","Sodium molybdate dihydrate",9
"C0170",8,2,0.1,"M","TAPS",9
"C0171",8,1,0.68,"M","Sodium molybdate dihydrate",4.2
"C0171",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0172",8,1,0.68,"M","Sodium molybdate dihydrate",8
"C0172",8,2,0.1,"M","Tris",8
"C0173",8,1,0.68,"M","Sodium molybdate dihydrate",10
"C0173",8,2,0.1,"M","CAPS",10
"C0174",8,1,3.9,"M","Sodium nitrate",6
"C0174",8,2,0.1,"M","MES monohydrate",6
"C0175",8,1,3.9,"M","Sodium nitrate",7.5
"C0175",8,2,0.1,"M","HEPES",7.5
"C0176",8,1,2.6,"M","Sodium nitrate",5
"C0176",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0177",8,1,2.6,"M","Sodium nitrate",8
"C0177",8,2,0.1,"M","Tris",8
"C0178",8,1,2.6,"M","Sodium nitrate",9
"C0178",8,2,0.1,"M","TAPS",9
"C0179",8,1,1.3,"M","Sodium nitrate",4.2
"C0179",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0180",8,1,1.3,"M","Sodium nitrate",7
"C0180",8,2,0.1,"M","Bis-Tris Propane",7
"C0181",8,1,3.32,"M","Sodium phosphate monobasic",4.2
"C0181",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0182",8,1,3.32,"M","Sodium phosphate monobasic",7
"C0182",8,2,0.1,"M","Bis-Tris Propane",7
"C0183",8,1,3.32,"M","Sodium phosphate monobasic",9
"C0183",8,2,0.1,"M","TAPS",9
"C0184",8,1,2.21,"M","Sodium phosphate monobasic",6
"C0184",8,2,0.1,"M","MES monohydrate",6
"C0185",8,1,2.21,"M","Sodium phosphate monobasic",7.5
"C0185",8,2,0.1,"M","HEPES",7.5
"C0186",8,1,1.11,"M","Sodium phosphate monobasic",5
"C0186",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0187",8,1,1.11,"M","Sodium phosphate monobasic",8
"C0187",8,2,0.1,"M","Tris",8
"C0188",8,1,1.11,"M","Sodium phosphate monobasic",10
"C0188",8,2,0.1,"M","CAPS",10
"C0189",8,1,2.83,"M","Sodium thiosulfate pentahydrate",6
"C0189",8,2,0.1,"M","MES monohydrate",6
"C0190",8,1,2.83,"M","Sodium thiosulfate pentahydrate",8
"C0190",8,2,0.1,"M","Tris",8
"C0191",8,1,2.83,"M","Sodium thiosulfate pentahydrate",9
"C0191",8,2,0.1,"M","TAPS",9
"C0192",8,1,1.88,"M","Sodium thiosulfate pentahydrate",7
"C0192",8,2,0.1,"M","Bis-Tris Propane",7
"C0193",8,1,1.88,"M","Sodium thiosulfate pentahydrate",9
"C0193",8,2,0.1,"M","TAPS",9
"C0194",8,1,0.94,"M","Sodium thiosulfate pentahydrate",6
"C0194",8,2,0.1,"M","MES monohydrate",6
"C0195",8,1,0.94,"M","Sodium thiosulfate pentahydrate",10
"C0195",8,2,0.1,"M","CAPS",10
"C0196",8,1,0.94,"M","Sodium thiosulfate pentahydrate",7.5
"C0196",8,2,0.1,"M","HEPES",7.5
"C0197",8,1,1.18,"M","Zinc acetate dihydrate",7.5
"C0197",8,2,0.1,"M","HEPES",7.5
"C0198",8,1,1.18,"M","Zinc acetate dihydrate",8
"C0198",8,2,0.1,"M","Tris",8
"C0199",8,1,0.79,"M","Zinc acetate dihydrate",5
"C0199",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0200",8,1,0.79,"M","Zinc acetate dihydrate",8
"C0200",8,2,0.1,"M","Tris",8
"C0201",8,1,0.39,"M","Zinc acetate dihydrate",5
"C0201",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0202",8,1,0.39,"M","Zinc acetate dihydrate",6
"C0202",8,2,0.1,"M","MES monohydrate",6
"C0203",8,1,3.46,"M","Potassium phosphate dibasic anhydrous",6
"C0203",8,2,0.1,"M","MES monohydrate",6
"C0204",8,1,3.46,"M","Potassium phosphate dibasic anhydrous",7.5
"C0204",8,2,0.1,"M","HEPES",7.5
"C0205",8,1,2.3,"M","Potassium phosphate dibasic anhydrous",7
"C0205",8,2,0.1,"M","Bis-Tris Propane",7
"C0206",8,1,2.3,"M","Potassium phosphate dibasic anhydrous",9
"C0206",8,2,0.1,"M","TAPS",9
"C0207",8,1,2.3,"M","Potassium phosphate dibasic anhydrous",5
"C0207",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0208",8,1,1.15,"M","Potassium phosphate dibasic anhydrous",4.2
"C0208",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0209",8,1,1.15,"M","Potassium phosphate dibasic anhydrous",5
"C0209",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0210",8,1,1.15,"M","Potassium phosphate dibasic anhydrous",8
"C0210",8,2,0.1,"M","Tris",8
"C0211",8,1,0.53,"M","Cobalt (II) sulfate heptahydrate",8
"C0211",8,2,0.1,"M","Tris",8
"C0212",8,1,1.06,"M","Cobalt (II) sulfate heptahydrate",9
"C0212",8,2,0.1,"M","TAPS",9
"C0213",8,1,0.53,"M","Cobalt (II) sulfate heptahydrate",5
"C0213",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0214",8,1,1.06,"M","Cobalt (II) sulfate heptahydrate",4.2
"C0214",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0215",8,1,1.06,"M","Cobalt (II) sulfate heptahydrate",5
"C0215",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0216",8,1,1.06,"M","Cobalt (II) sulfate heptahydrate",8
"C0216",8,2,0.1,"M","Tris",8
"C0217",8,1,0.53,"M","Cobalt (II) sulfate heptahydrate",6
"C0217",8,2,0.1,"M","MES monohydrate",6
"C0218",8,1,0.53,"M","Cobalt (II) sulfate heptahydrate",7
"C0218",8,2,0.1,"M","Bis-Tris Propane",7
"C0219",8,1,2.03,"M","Lithium sulfate monohydrate",6
"C0219",8,2,0.1,"M","MES monohydrate",6
"C0220",8,1,1.35,"M","Lithium sulfate monohydrate",4.2
"C0220",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0221",8,1,1.35,"M","Lithium sulfate monohydrate",7.5
"C0221",8,2,0.1,"M","HEPES",7.5
"C0222",8,1,0.68,"M","Lithium sulfate monohydrate",5
"C0222",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0223",8,1,3.05,"M","Potassium phosphate tribasic",4.2
"C0223",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0224",8,1,3.05,"M","Potassium phosphate tribasic",8
"C0224",8,2,0.1,"M","Tris",8
"C0225",8,1,3.05,"M","Potassium phosphate tribasic",9
"C0225",8,2,0.1,"M","TAPS",9
"C0226",8,1,2.03,"M","Potassium phosphate tribasic",5
"C0226",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0227",8,1,2.03,"M","Potassium phosphate tribasic",7
"C0227",8,2,0.1,"M","Bis-Tris Propane",7
"C0228",8,1,8.1,"M","Ammonium thiocyanate",4.2
"C0228",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0229",8,1,8.1,"M","Ammonium thiocyanate",5
"C0229",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0230",8,1,5.4,"M","Ammonium thiocyanate",6
"C0230",8,2,0.1,"M","MES monohydrate",6
"C0231",8,1,35,"% (v/v)","Glycerol anhydrous",7.5
"C0231",8,2,0.07,"M","HEPES-Na",7.5
"C0231",8,3,0.52,"M","Potassium sodium tartrate tetrahydrate",7.5
"C0232",8,1,0.17,"M","Ammonium sulfate",5.47
"C0232",8,2,25.5,"% (w/v)","polyethylene glycol 8000",5.47
"C0232",8,3,15,"% (v/v)","Glycerol anhydrous",5.47
"C0233",8,1,2.7,"M","Ammonium thiocyanate",7
"C0233",8,2,0.1,"M","Bis-Tris Propane",7
"C0234",8,1,2.7,"M","Ammonium thiocyanate",7.5
"C0234",8,2,0.1,"M","HEPES",7.5
"C0235",8,1,2.7,"M","Ammonium thiocyanate",10
"C0235",8,2,0.1,"M","CAPS",10
"C0236",8,1,0.17,"M","Ammonium sulfate",5.64
"C0236",8,2,25.5,"% (w/v)","polyethylene glycol 4000",5.64
"C0236",8,3,15,"% (v/v)","Glycerol anhydrous",5.64
"C0237",8,1,1.5,"M","Ammonium sulfate",8.5
"C0237",8,2,0.75,"M","Tris HCl",8.5
"C0237",8,3,25,"% (v/v)","Glycerol anhydrous",8.5
